company_code,company_name,check_type,snapshot_time,pdf_page,股权结构口径,上一时点股本/持股数(万股),上一时点出资额(万元注册资本),本次认缴/变化(万股),预期变更后股本/持股数(万股),PDF披露变更后股本/持股数(万股),差额(万股),status,notes
301563,云汉芯城,认缴流量数值与认购方核对,2018-06-12,59.0,认购方：国科瑞华,,,254.4787,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301563,云汉芯城,认缴流量数值与认购方核对,2018-06-12,59.0,认购方：CASREV FUND,,,61.8,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301563,云汉芯城,认缴流量数值与认购方核对,2018-06-12,59.0,认购方：中科贵银,,,54.384,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301563,云汉芯城,认缴流量数值与认购方核对,2018-06-12,59.0,认购方：夏东,,,7.004,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301563,云汉芯城,认缴流量数值与认购方核对,2018-06-12,59.0,认购方：南山富海,,,103.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301563,云汉芯城,认缴流量数值与认购方核对,2018-06-12,59.0,认购方：珠海拓域,,,34.3333,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301563,云汉芯城,认缴流量数值与认购方核对,2018-06-12/2018-06-28,60.0,认购方：李文发,,,20.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301563,云汉芯城,认缴流量数值与认购方核对,2018-06-12/2018-06-28,60.0,认购方：秦国君,,,20.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301563,云汉芯城,认缴流量数值与认购方核对,2018-06-12/2018-06-28,60.0,认购方：李剑峰,,,20.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301563,云汉芯城,认缴流量数值与认购方核对,2018-06-12/2018-06-28,60.0,认购方：周雪峰,,,60.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301563,云汉芯城,认缴流量数值与认购方核对,2018-06-12,59.0,认购方：富海节能（受让自曾烨）,,,51.5,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301563,云汉芯城,认缴流量数值与认购方核对,2018-06-12,59.0,认购方：临港投资（受让自曾烨）,,,18.025,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301563,云汉芯城,认缴流量数值与认购方核对,2018-06-12,59.0,认购方：临港投资（受让自刘云锋）,,,9.4417,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301563,云汉芯城,认缴流量数值与认购方核对,2018-06-12,59.0,认购方：鸿迪投资（受让自刘云锋）,,,36.9083,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301563,云汉芯城,认缴流量数值与认购方核对,2019-08-13,61.0,认购方：李文发（受让自为赛咨询）,,,40.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301563,云汉芯城,认缴流量数值与认购方核对,2019-08-13,61.0,认购方：秦国君（受让自为赛咨询）,,,40.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
301563,云汉芯城,认缴流量数值与认购方核对,2020-05-20,62.0,认购方：火炬电子,,,113.0488,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301563,云汉芯城,认缴流量数值与认购方核对,2020-09-15,63.0,认购方：厦门西堤,,,96.899,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301563,云汉芯城,认缴流量数值与认购方核对,2020-09-15,63.0,认购方：中小企业基金,,,38.7596,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301563,云汉芯城,认缴流量数值与认购方核对,2020-09-23,64.0,认购方：鸿迪投资（受让自曾烨）,,,48.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
